vocabulary,meaning
Distinguish,แยกแยะ
Tension,เน้นเสียง
Diphthongs,ควบกล้ำ
Bon voyage,เดินทางปลอดภัย
temporary,ชั่วคราว
versatile,เก่งหลายอย่าง
Numb,มึน
occasion,โอกาส
ragged,มอมแมม
punctual,ตรงต่อเวลา
pastime,งานอดิเรก
ghastly,"น่ากลัว,คล้ายภูติผี"
frantic,โวยวาย
slacker,คนหนีงาน
ultimatum,คำขาด
custodian,ผู้รับฝากทรัพย์สิน
privilege,สิทธิพิเศษ
reserved,ที่สงวนไว้
amenable,คล้อยตาม
remuneration,ค่าตอบแทน
expedition,การเดินทาง
thyself,ตัวเอง
negotiation,การต่อรอง
amicable,เป็นมิตร
thorough,"ละเอียดถี่ถ้วน,ทั่วถึง"
delegation,คณะผู้แทน
covet,ปราถนา
embed,ฝัง
literally,แท้จริง
metaphorically,ในเชิงเปรียบเทียบ
lyre,พิณ
amnesia,ความจำเสื่อม
anguish,ความปวดร้าว
alas,อนิจจา
devise,ประดิษฐ์
scholar,นักวิชาการ
astray,หลงทาง
comprise,ประกอบด้วย
cathedral,มหาวิหาร
predicament,สถานการณ์
rejoice,ชื่นชนยินดี
behold,ดูเถิด
descended,สืบเชื้อสายมา
contribution,ผลงาน
infiltrate,แทรกซึม
conspicuous,เด่นชัด
emerges,"อุบัติ,โผล่ออกมา"
conservative,หัวโบราณ
implicate,เกี่ยวข้อง
affair,"เรื่อง,ธุรกิจ"
confidential,เป็นความลับ
meticulous,พิถีพิถัน
coerce,บีบบังคับ
pry,สอดรู้สอดเห็น
interrogate,สอบปากคำ
harbinger,"ลางสังหรณ์,ผู้นำ"
falter,อ้ำอึ้ง
exotic,"แปลกใหม่,ไม่ใช่ของพื้นเมือง"
assumption,สมมติฐาน
diminish,ลดน้อยลง
cheeky,หน้าด้าน
assemble,รวบรวม
eradicated,กำจัด
blatant,โจ่งแจ้ง
charlatan,คนหลอกลวง
privy,ส่วนตัว
antique,โบราณ
hassle,ยุ่งยาก
preside,ปกครอง
digress,พูดนอกเรื่อง
horrendous,น่ากลัว
meleficent,ชั่วร้าย
determine,กำหนด
manipulate,จัดการ
presume,สันนิษฐาน
ado,"ความวุ่นวาย,ความกังวลใจ"
detour,การอ้อม
actuotor,ตัวกระตุ้น
halo,รัศมี
bystander,คนยืนดู
referral,การอ้างถึง
crisis,วิกฤติ
aftermath,ผลพวง
out of the woods,พ้นอันตราย
outrider,ผู้ขับขี่
somber,เศร้าหมอง
sober,เงียบขรึม
prevail,"เหนือกว่า,แพร่หลาย"
arduous,ลำบาก
wreak,"สร้างหายนะ,แก้แค้น"
havoc,ความหายนะ
fraternizing,สนิทสนม
devised,วางแผน
linguistic,ภาษาศาสตร์
deaconess,มัคนายก
vexatious,วุ่นวาย
foci,จุดโฟกัส
ascend,ขึ้นไป
catastrophe,ภัยพิบัติ
rite,พิธีกรรม
admonishment,การตักเตือน
orchestrate,บงการ
apparently,เห็นได้ชัด
peeved,โกรธ
vigilant,"ตื่นตัว,ระแวดระวัง"
sundial,นาฬิกาแดด
cluster,กลุ่มก้อน
pursue,ไล่ตาม
insignificant,ไม่มีนัยสำคัญ
notorious,"ฉาวโฉ่,infamous"
divulging,เปิดเผย
robust,แข็งแกร่ง
wary,ระวัง
proposition,เรื่อง
dimple,ลักยิ้ม
fragrant,หอม
frivolous,ไม่สำคัญ
consciously,อย่างมีสติ
bust","break,split,or burst(something)"
friction,แรงเสียดทาน
stalemate,ทางตัน
obligation,ภาระผูกพัน
bummer,น่าผิดหวัง
grouch,คนขี้บ่น
liege,เจ้า
enthusiast,ผู้ที่กระตือรือร้น
smithereens,ชิ้นเล็กชิ้นน้อย
curating,การดูแล(ของสะสมหรือนิทรรศการ)
exhibition,นิทรรศการ
hermit,ฤาษี
gimmick,"กล,กลไก"
steadfast,แน่วแน่
immovable,คงที่
virtue,คุณธรรม
shade,เงา
flourish,เจริญรุ่งเรือง
fortify,เสริมกำลังเพื่อป้องกันการโจมตี
supple,นิ่มนวล
nourish,หล่อเลี้ยง
commandment,บัญญัติ
interpretation,การตีความ
peripheral,อยู่รอบนอก
enquiry,การสืบสวน
convergence,การบรรจบกัน
pawn,จำนำ
ludicrously,อย่างน่าหัวเราะ
buffoon,ตัวตลก
cower,หมอบลงด้วยความกลัว
crouch,หมอบ
collusion,สมรู้ร่วมคิดในทางไม่ดี
errands,ธุระ
vengeance,การแก้แค้น
inquiries,สอบถามข้อมูล
leniency,ปรานี
handful,เต็มกำมือ
chivalry,อัศวิน
inimitable,เลียนแบบไม่ได้
inimitable,ไม่ได้ฝึกหัด
duly,ถูกต้อง
clout,อิทธิพล
pavilion,ศาลา
trifling,เรื่องไม่สำคัญ
patronage,การอุดหนุน
frugal,ประหยัด
acquisition,การเข้าซื้อกิจการ
spree,สนุกสนาน
persecution,การข่มเหง
seize,ยึด
valiant,องอาจ
scathe,ทำร้าย
valor,ความกล้าหาญ
chivalrous,สุภาพหรือกล้าหาญส่วนใหญ่ใช้ toward women
intrusion,การบุกรุก
affair,"เรื่อง,ความรัก(love affair)"
